🔵 KPIs OPERATIVOS SC LEAD (No alimentan directamente al COO),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
KPIs de gestión interna que soportan la operación pero no son medidos directamente por el COO,,,,
,,,,
#,KPI,META Q4,CATEGORÍA,PROPÓSITO
6,Participación en SIV/MV,100%,Start-up,Asegura calidad de visitas de monitoreo
10,Tiempo Derivación→Contacto,≤24h,Reclutamiento,"Optimiza funnel, soporta enrollment"
11,% Visitas Completadas vs Plan,≥95%,Reclutamiento,Asegura ejecución de protocolo
12,% Adherencia Ventana Visita,≥90%,Reclutamiento,Minimiza desviaciones por timing
16,Tasa Desviaciones (todas),≤3%,Calidad,Indicador de calidad global
17,% SAEs Reportados <24h,100%,Calidad,Compliance ICH-GCP - crítico
19,Audit Readiness Score,≥90%,Calidad,Preparación auditorías/inspecciones
21,% Docs eTMF en Plazo,≥95%,Digital,Soporta eTMF Completeness del COO
24,Promedio Días Cierre AI,≤7,Monitoreo,Detalle operativo gestión AIs
25,% Major Findings en MV,≤5%,Monitoreo,Indicador calidad de ejecución
26,Consultas CRA ≤48h,≥95%,Sponsors,Relación con CRAs
27,Score Performance Sponsor,≥4.0/5,Sponsors,Evaluación trimestral
28,% Equipo GCP Vigente,100%,Equipo,Compliance - requisito base
29,Training vs Plan,≥95%,Equipo,Desarrollo del equipo
30,Span of Control,≤8,Equipo,Gestión organizacional
31,Turnover Anual,≤18%,Equipo,Estabilidad del equipo
